Date,C/C++,C#,Dart,Go,Java,JavaScript,Matlab,Objective-C,Python,R,Ruby,Swift,TypeScript
January 2021,6.3,6.550000000000000,0.5600000000000000,1.3300000000000000,16.8,8.470000000000000,1.73,3.6900000000000000,30.510000000000000,3.85,1.1200000000000000,2.1400000000000000,1.77
February 2021,6.52,6.78,0.5700000000000000,1.26,16.88,8.540000000000000,1.72,3.5700000000000000,30.23,3.8700000000000000,1.1900000000000000,2.02,1.72
March 2021,6.710000000000000,6.87,0.5500000000000000,1.26,17.26,8.470000000000000,1.6500000000000000,3.47,30.28,3.73,1.16,1.83,1.79
April 2021,6.68,6.93,0.5700000000000000,1.34,17.53,8.59,1.73,2.55,30.18,3.8600000000000000,1.2,1.81,1.7500000000000000
May 2021,6.65,6.97,0.53,1.46,18.02,8.780000000000000,1.6200000000000000,2.23,30.44,3.9,1.1000000000000000,1.7500000000000000,1.7000000000000000
June 2021,6.64,7.04,0.53,1.48,18.35,8.870000000000000,1.46,2.09,30.460000000000000,3.74,1.1400000000000000,1.82,1.73
July 2021,6.6000000000000000,7.16,0.5500000000000000,1.46,18.25,9.17,1.47,1.8400000000000000,30.740000000000000,3.74,1.11,1.66,1.72
August 2021,6.5,6.99,0.5700000000000000,1.5,18.27,9.3,1.46,1.8500000000000000,30.740000000000000,3.7600000000000000,1.03,1.63,1.71
September 2021,6.68,7.17,0.58,1.5700000000000000,18.04,9.54,1.44,1.9800000000000000,30.11,3.93,1.01,1.6400000000000000,1.59
October 2021,6.99,7.380000000000000,0.5500000000000000,1.54,18.11,9.34,1.4000000000000000,2.01,30.14,3.73,0.98,1.6100000000000000,1.59
November 2021,6.99,7.31,0.61,1.4200000000000000,17.560000000000000,9.31,1.43,2.12,30.050000000000000,3.8,1,1.7000000000000000,1.63
December 2021,7.01,7.26,0.65,1.35,17.82,9.1,1.6,2.16,29.600000000000000,4.110000000000000,1.03,1.6400000000000000,1.66