,LifeStage,Sex,Annuli,Mass,StraightlineCL,MaxCW,PL_AnteriortoHinge,PL_HingetoPosterior,ShellHeightatHinge
0,Adult,Male,13.0,410.0,127.0,102.0,48.0,68.0,61.0
1,Adult,Male,19.0,340.0,113.62,93.96,44.87,67.61,55.88
2,Juvenile,Female,7.0,160.0,89.49,73.51,39.6,53.65,43.48
3,Adult,Male,16.0,175.0,127.7,101.16,54.76,84.72,61.97
4,Juvenile,Female,7.0,100.0,81.0,69.0,35.0,44.0,39.0
5,Adult,Unknown,17.0,410.0,127.32,101.21,56.7,81.42,64.24
6,Adult,Female,18.0,472.0,131.0,104.0,49.0,80.0,59.0
7,Adult,Female,20.0,155.0,122.85,99.38,51.68,74.73,64.6
8,Adult,Male,18.0,325.0,115.0,94.0,45.0,68.0,55.0
9,Adult,Male,40.0,475.0,137.0,105.0,52.0,79.0,63.0
10,Adult,Male,15.0,405.0,123.0,99.0,49.0,72.0,61.0
11,Adult,Male,10.0,175.0,98.6,71.6,42.26,53.3,46.67
12,Adult,Male,28.0,255.0,111.0,85.0,45.0,64.0,53.0
13,Adult,Female,30.0,345.0,105.0,89.0,40.0,66.0,56.0
14,Adult,Female,19.0,240.0,124.68,102.3,48.92,71.92,58.47
15,Adult,Female,12.0,425.0,120.0,88.0,42.0,99.0,61.0
16,Adult,Male,18.0,336.0,119.0,95.0,47.0,68.0,59.0
17,Adult,Female,20.0,525.0,128.38,106.02,52.44,79.28,63.06
18,Adult,Male,18.0,315.0,122.0,94.0,49.0,70.0,56.0
19,Adult,Male,17.0,315.0,123.91,99.74,48.41,69.05,55.79
20,Juvenile,Male,6.0,190.0,104.0,82.0,47.0,65.0,50.0
21,Adult,Female,11.0,202.0,102.0,78.0,39.0,59.0,49.0
22,Adult,Male,19.0,360.0,126.0,96.0,51.0,75.0,53.0
23,Adult,Male,14.0,362.0,122.0,98.0,50.0,72.0,57.0
24,Juvenile,Unknown,5.0,130.0,82.96,68.81,34.68,51.97,44.32
25,Adult,Female,13.0,395.0,117.0,92.0,46.0,71.0,60.0
26,Adult,Female,16.0,445.0,120.95,98.11,51.96,78.57,60.92
27,Adult,Male,30.0,350.0,122.0,97.0,50.0,69.0,54.0
28,Adult,Female,6.0,102.0,84.0,65.0,32.0,48.0,37.0
29,Adult,Male,18.0,410.0,118.0,98.0,48.0,72.0,63.0
30,Adult,Female,14.0,325.0,114.0,95.0,46.0,69.0,61.0
31,Adult,Male,20.0,340.0,125.5,98.8,52.5,74.7,55.9
32,Adult,Unknown,18.0,475.0,125.25,103.61,51.86,78.89,60.61
33,Juvenile,Male,8.0,100.0,81.0,66.0,35.0,48.0,38.0
34,Adult,Male,20.0,340.0,120.96,95.32,51.52,73.05,53.56
35,Adult,Male,16.0,380.0,120.2,94.85,55.98,80.14,59.13
36,Adult,Male,40.0,360.0,115.0,93.0,46.0,69.0,55.0
37,Adult,Male,19.0,309.0,112.3,88.3,44.5,65.2,54.6
38,Adult,Male,17.0,280.0,112.0,89.0,48.0,66.0,53.0
39,Adult,Male,40.0,390.0,124.0,98.0,49.0,72.0,56.0
40,Adult,Unknown,10.0,245.0,110.0,90.0,40.4,60.2,50.1
41,Adult,Female,18.0,425.0,124.1,99.11,49.4,72.15,61.46
42,Juvenile,Unknown,3.0,45.0,55.0,49.0,22.0,30.0,25.0
43,Adult,Female,18.0,350.0,117.0,90.0,45.0,71.0,60.0
44,Adult,Male,20.0,345.0,138.05,103.02,51.96,76.95,58.53
45,Adult,Female,20.0,400.0,118.48,99.22,47.08,73.3,57.29
46,Adult,Female,20.0,280.0,110.83,86.39,42.34,66.25,57.48
47,Adult,Male,18.0,250.0,104.0,85.0,38.0,62.0,53.0
48,Adult,Female,15.0,420.0,129.55,98.39,50.7,73.42,58.37
49,Adult,Female,19.0,230.0,106.6,84.0,43.0,63.0,56.1
50,Adult,Male,20.0,460.0,137.54,115.31,54.75,83.49,59.69
51,Adult,Male,17.0,380.0,129.77,95.68,47.37,71.38,59.12
52,Adult,Female,18.0,450.0,121.8,99.45,52.27,74.09,70.64
53,Adult,Male,10.0,280.0,109.43,94.0,46.5,67.0,51.0
54,Adult,Male,14.0,156.0,119.0,93.0,48.0,72.0,55.0
55,Adult,Male,20.0,415.0,135.14,107.97,52.06,76.19,60.45
56,Adult,Male,19.0,230.0,105.0,85.0,43.0,59.0,50.0
57,Adult,Male,17.0,395.0,120.85,101.03,51.95,71.82,58.2
58,Adult,Unknown,18.0,420.0,124.0,100.0,52.0,72.0,60.0
59,Adult,Female,20.0,510.0,126.26,100.04,51.25,77.71,69.18
60,Adult,Male,20.0,365.0,118.17,96.01,48.35,68.74,57.84
61,Adult,Female,21.0,455.0,137.0,106.0,52.0,79.0,63.0
62,Adult,Male,21.0,400.0,122.0,100.0,56.0,81.0,56.0
63,Adult,Male,15.0,425.0,132.0,99.0,51.0,71.0,56.0
64,Juvenile,Female,5.0,50.0,60.5,46.3,20.9,31.7,27.1
65,Adult,Female,15.0,282.0,105.0,83.0,41.0,67.0,51.0
66,Adult,Male,20.0,510.0,136.29,110.5,51.27,81.62,61.47
67,Adult,Male,20.0,328.0,121.02,103.97,47.94,72.96,55.89
68,Adult,Male,16.0,400.0,127.5,107.5,51.87,76.2,60.0
69,Adult,Male,20.0,335.0,114.56,88.01,47.75,67.95,56.07
70,Adult,Female,25.0,350.0,118.0,98.0,54.0,80.0,64.0
71,Adult,Female,9.0,147.0,87.12,70.05,37.71,51.92,40.86
72,Adult,Female,15.0,150.0,99.0,78.0,39.0,54.0,45.0
73,Adult,Male,20.0,375.0,130.0,101.16,49.09,72.76,57.69
74,Adult,Female,6.0,124.0,85.0,66.0,34.0,49.0,40.0
75,Adult,Male,20.0,352.5,118.35,96.25,49.28,69.83,61.0
76,Adult,Unknown,15.0,420.0,123.49,101.84,50.13,72.18,65.47
77,Adult,Male,17.0,245.0,129.0,101.0,49.0,75.0,56.0
78,Adult,Unknown,18.0,415.0,119.42,104.8,51.42,75.99,60.59
79,Adult,Male,7.0,155.0,89.38,75.29,38.14,53.51,44.76
80,Adult,Female,21.0,180.0,102.0,79.0,44.0,67.0,50.0
81,Adult,Female,21.0,387.0,127.0,99.0,46.0,84.0,56.0
82,Juvenile,Female,5.0,80.0,70.0,60.0,27.0,42.0,34.0
83,Adult,Female,19.0,350.0,109.0,96.0,45.0,69.0,61.0
84,Adult,Male,37.0,430.0,123.0,95.0,49.0,71.0,64.0
85,Adult,Unknown,11.0,400.0,122.48,89.77,47.96,71.35,60.25
86,Adult,Female,20.0,375.0,122.0,94.0,49.0,70.0,61.0
87,Adult,Female,20.0,345.0,114.38,92.41,51.96,77.12,63.37
88,Adult,Female,20.0,140.0,92.5,73.75,36.75,54.15,44.5
89,Adult,Male,30.0,337.0,121.0,91.0,47.0,69.0,55.0
90,Adult,Male,10.0,351.0,123.0,94.0,49.0,67.0,57.0
91,Adult,Male,13.0,168.0,116.0,92.0,46.0,68.0,58.0
92,Adult,Female,12.0,485.0,129.2,104.82,52.59,79.27,65.09
93,Juvenile,Unknown,2.0,55.0,66.1,53.11,26.63,36.51,30.44
94,Adult,Male,11.0,250.0,126.3,104.3,51.8,76.6,64.0
95,Adult,Male,22.0,400.0,125.77,101.6,51.13,71.43,58.23
96,Adult,Female,40.0,350.0,114.0,96.0,47.0,69.0,64.0
97,Juvenile,Male,34.0,200.0,96.0,79.0,39.0,59.0,45.0
98,Adult,Unknown,17.0,352.0,119.59,97.78,47.2,76.02,57.59
99,Adult,Male,20.0,290.0,110.6,91.5,45.4,69.2,54.0
100,Adult,Female,20.0,140.0,92.5,73.75,36.75,54.15,44.5
101,Adult,Male,30.0,330.0,118.0,91.0,46.0,68.0,55.0
102,Juvenile,Female,6.0,240.0,106.86,81.8,44.05,59.83,49.3
103,Adult,Female,26.0,405.0,130.0,99.0,50.0,75.0,59.0
104,Adult,Male,24.0,202.0,102.0,80.0,40.0,58.0,47.0
105,Adult,Male,24.0,370.0,136.0,103.0,50.0,75.0,59.0
106,Juvenile,Unknown,4.0,95.0,75.85,62.17,29.65,45.64,36.14
107,Adult,Male,16.0,265.0,106.73,91.5,46.86,70.48,52.82
108,Adult,Male,18.0,425.0,128.86,100.68,52.11,72.65,58.03
109,Adult,Female,21.0,442.0,121.0,99.0,50.0,74.0,64.0
110,Adult,Female,10.0,245.0,106.0,85.0,45.0,61.0,49.0
111,Adult,Female,19.0,405.0,123.1,101.54,47.69,75.91,59.01
112,Juvenile,Male,5.0,118.0,82.35,69.38,34.81,47.56,39.06
113,Adult,Male,24.0,270.0,110.0,89.0,44.0,62.0,52.0
114,Adult,Male,18.0,410.0,130.7,101.79,49.57,74.29,57.56
115,Adult,Unknown,20.0,343.0,117.0,94.5,46.6,69.5,60.0
116,Adult,Male,16.0,430.0,123.0,100.0,49.0,71.0,60.0
117,Adult,Female,9.0,165.0,89.86,75.6,37.5,55.02,43.8
118,Adult,Male,15.0,280.0,114.0,83.0,54.0,68.0,46.0
119,Adult,Female,16.0,140.0,83.0,66.0,38.0,52.0,39.0
120,Adult,Male,14.0,412.0,134.13,104.27,51.04,85.44,59.59
121,Adult,Male,16.0,415.0,122.75,99.32,47.25,72.52,54.31
122,Adult,Male,20.0,245.0,101.87,86.45,40.5,63.72,50.6
123,Adult,Female,19.0,425.0,121.03,103.98,47.57,76.95,64.79
124,Adult,Male,34.0,240.0,105.0,86.0,40.0,59.0,49.0
125,Adult,Male,20.0,330.0,112.4,85.35,46.16,71.26,54.67
126,Adult,Female,11.0,360.0,121.82,96.22,44.76,69.59,56.56
127,Adult,Female,22.0,315.0,111.69,87.07,41.81,65.37,58.65
128,Adult,Female,20.0,427.0,115.64,98.44,46.86,71.01,62.31
129,Adult,Male,13.0,335.0,121.0,95.0,46.0,74.0,53.0
130,Adult,Female,17.0,390.0,120.52,100.19,47.58,74.78,57.65
131,Adult,Male,16.0,380.0,121.7,100.0,51.43,73.06,58.06
132,Adult,Male,24.0,320.0,121.0,95.0,49.0,67.0,53.0
133,Adult,Male,11.0,92.0,76.4,65.76,32.03,43.4,37.1
134,Adult,Male,14.0,430.0,126.23,102.98,51.41,72.21,58.76
135,Adult,Male,20.0,320.0,117.0,93.0,48.0,68.0,57.0
136,Adult,Male,25.0,324.0,120.0,94.43,46.34,68.79,55.15
137,Adult,Male,20.0,225.0,110.8,89.93,44.6,63.3,49.4
138,Adult,Female,14.0,435.0,126.97,100.73,51.04,79.39,64.3
139,Adult,Male,33.0,295.0,111.0,90.0,44.0,67.0,53.0
140,Adult,Male,15.0,352.0,116.11,92.86,48.89,70.76,60.48
141,Adult,Male,17.0,375.0,131.0,96.0,52.0,73.0,52.0
142,Adult,Female,11.0,230.0,106.79,84.84,41.05,62.6,49.4
143,Adult,Female,12.0,290.0,108.0,90.0,43.0,63.0,53.0
144,Adult,Unknown,25.0,283.0,110.41,100.59,46.99,69.53,60.5
145,Juvenile,Unknown,2.0,25.0,51.41,45.19,18.86,28.19,22.49
146,Adult,Female,20.0,385.0,128.03,99.63,51.4,72.54,57.75
147,Adult,Male,25.0,190.0,103.0,81.0,41.0,59.0,48.0
148,Adult,Male,20.0,435.0,130.03,103.66,53.4,79.12,64.08
149,Adult,Female,16.0,305.0,109.49,89.66,41.98,62.68,53.35
150,Adult,Male,15.0,375.0,120.0,97.0,49.0,72.0,56.0
151,Adult,Female,20.0,335.0,105.97,89.51,42.21,67.12,58.99
152,Adult,Male,17.0,250.0,111.0,88.0,47.0,66.0,53.0
153,Adult,Male,20.0,360.0,122.87,104.25,51.7,69.4,55.39
154,Adult,Male,16.0,435.0,125.0,102.0,51.0,80.0,60.0
155,Adult,Male,30.0,460.0,119.0,104.0,48.0,75.0,67.0
156,Adult,Male,14.0,310.0,123.98,101.62,49.86,70.52,56.69
157,Adult,Female,15.0,420.0,122.5,99.7,48.79,71.24,62.31
158,Adult,Male,14.0,6.0,64.0,55.0,28.0,38.0,32.0
159,Adult,Male,20.0,411.0,127.3,103.11,50.86,72.71,61.26
160,Adult,Male,24.0,407.0,136.0,104.0,57.0,77.0,58.0
161,Adult,Male,15.0,350.0,130.0,99.0,49.0,70.0,61.0
162,Adult,Female,12.0,250.0,116.69,89.07,46.84,64.11,52.29
163,Adult,Female,20.0,280.0,110.0,86.0,42.0,65.0,56.0
164,Adult,Male,11.0,375.0,125.58,98.8,50.33,70.01,57.97
165,Hatchling,Female,24.0,90.0,79.0,60.0,32.0,43.0,40.0
166,Adult,Male,17.0,420.0,126.0,105.0,50.0,77.0,63.0
167,Adult,Male,20.0,405.0,123.2,97.6,49.6,73.2,58.2
168,Adult,Male,17.0,395.0,126.84,98.72,52.47,73.14,59.32
169,Adult,Unknown,14.0,270.0,113.21,88.95,45.52,66.01,51.79
170,Adult,Male,15.0,290.0,114.0,96.0,45.0,69.0,49.0
171,Adult,Male,12.0,395.0,125.69,100.32,54.28,71.36,57.15
172,Juvenile,Male,7.0,135.0,92.0,21.0,34.0,52.0,43.0
173,Adult,Male,16.0,335.0,145.84,118.68,69.2,92.92,76.73
174,Adult,Unknown,16.0,390.0,114.0,100.0,48.0,71.0,63.0
175,Adult,Male,21.0,365.0,122.01,100.08,46.48,72.05,62.52
176,Adult,Unknown,15.0,220.0,104.0,85.58,41.23,61.61,54.8
177,Adult,Female,17.0,455.0,123.0,98.0,50.0,75.0,63.0
178,Adult,Female,20.0,410.0,119.43,107.36,51.18,73.38,59.49
179,Adult,Female,20.0,405.0,115.01,93.91,47.42,72.8,60.82
180,Adult,Male,12.0,456.0,141.0,104.0,54.0,75.0,66.0
181,Adult,Female,16.0,395.0,124.28,103.41,49.98,73.31,59.87
182,Adult,Female,14.0,332.0,107.0,90.0,44.0,68.0,58.0
183,Adult,Female,16.0,390.0,117.72,97.81,47.81,72.11,58.56
184,Adult,Female,40.0,295.0,109.0,85.0,44.0,64.0,61.0
185,Adult,Female,33.0,380.0,117.0,93.0,47.0,67.0,60.0
186,Adult,Male,13.0,355.0,117.32,98.17,50.52,70.02,55.08
187,Adult,Female,18.0,455.0,138.73,100.15,53.85,80.86,67.56
188,Adult,Female,18.0,455.0,125.08,102.2,47.18,77.38,64.58
189,Adult,Male,30.0,380.0,119.0,95.0,45.0,73.0,56.0
190,Adult,Unknown,17.0,400.0,123.54,104.8,47.78,71.66,58.72
191,Adult,Male,15.0,385.0,136.0,106.0,54.0,74.0,60.0
192,Adult,Male,23.0,325.0,120.0,91.0,49.0,76.0,53.0
193,Adult,Female,19.0,435.0,124.0,98.0,46.0,77.0,62.0
194,Adult,Male,24.0,270.0,111.0,89.0,44.0,62.0,53.0
195,Adult,Female,19.0,350.0,109.0,96.0,45.0,69.0,61.0
196,Adult,Female,20.0,372.0,114.61,98.06,50.92,70.12,57.71
197,Adult,Female,9.0,248.0,102.93,85.08,43.31,61.09,48.76
198,Adult,Male,18.0,356.0,118.0,95.0,45.0,72.0,54.0
199,Adult,Female,22.0,355.0,119.62,92.85,47.82,74.78,61.23
200,Adult,Male,20.0,375.0,127.5,100.0,48.0,74.15,57.5
201,Adult,Male,17.0,382.0,122.0,95.0,48.0,72.0,59.0
202,Adult,Female,20.0,150.0,83.0,67.0,35.0,50.0,45.0
203,Adult,Female,9.0,130.0,89.41,68.2,36.3,48.73,43.73
204,Adult,Male,15.0,365.0,121.0,98.0,50.0,69.0,55.0
205,Adult,Male,25.0,352.0,129.0,99.0,48.0,71.0,59.0
206,Adult,Female,20.0,325.0,104.23,89.44,41.35,64.59,56.47
207,Adult,Male,20.0,260.0,115.0,92.0,65.0,71.0,51.0
208,Adult,Male,11.0,303.0,115.0,90.0,47.0,66.0,56.0
209,Adult,Female,21.0,455.0,137.0,106.0,52.0,79.0,63.0
210,Adult,Male,13.0,355.0,128.85,102.05,47.56,72.78,58.74
211,Adult,Female,20.0,390.0,122.0,102.0,48.0,73.0,57.0
212,Adult,Male,22.0,455.0,133.0,111.0,53.0,80.0,61.5
213,Adult,Female,23.0,425.0,115.0,101.0,50.0,72.0,64.0
214,Adult,Male,25.0,405.0,128.0,106.0,51.0,72.0,59.0
215,Adult,Male,18.0,310.0,127.0,100.81,49.56,71.2,55.25
216,Adult,Male,22.0,350.0,120.0,97.0,48.0,65.0,54.0
217,Adult,Female,19.0,408.0,120.92,99.06,48.84,72.47,62.73
218,Adult,Male,22.0,420.0,127.0,102.0,52.0,75.0,60.0
219,Adult,Male,40.0,390.0,124.0,98.0,49.0,72.0,56.0
220,Adult,Female,18.0,455.0,125.14,98.85,46.59,76.58,61.23
221,Adult,Female,21.0,430.0,120.79,100.0,48.33,71.29,63.17
222,Adult,Male,20.0,350.0,118.78,97.01,49.93,67.52,54.67
223,Adult,Male,14.0,333.0,122.0,98.0,45.0,73.0,55.0
224,Adult,Female,30.0,500.0,131.0,101.0,51.0,80.0,63.0
225,Juvenile,Female,5.0,50.0,60.5,46.3,20.9,31.7,27.1
226,Adult,Male,16.0,253.0,126.2,102.3,49.7,74.7,53.2
227,Adult,Female,15.0,330.0,111.0,91.0,45.0,68.0,58.0
228,Adult,Male,20.0,470.0,130.5,103.1,53.23,77.46,60.89
229,Adult,Female,20.0,500.0,139.14,99.82,49.75,75.12,72.31
230,Adult,Unknown,11.0,82.0,74.74,60.29,31.13,40.55,34.1
231,Adult,Male,20.0,320.0,115.11,93.95,45.9,69.17,56.11
232,Adult,Female,17.0,310.0,109.0,82.0,43.0,64.0,61.0
233,Adult,Male,20.0,505.0,133.59,101.46,53.78,78.78,62.23
234,Juvenile,Unknown,9.0,165.0,95.66,78.08,38.41,56.59,47.03
235,Adult,Male,25.0,360.0,127.0,98.0,48.0,71.0,58.0
236,Adult,Male,19.0,340.0,118.0,93.0,46.0,68.0,54.0
237,Adult,Male,26.0,430.0,132.0,93.0,61.0,84.0,56.0
238,Adult,Male,18.0,335.0,117.95,96.29,50.33,69.13,55.0
239,Adult,Female,12.0,200.0,97.0,79.0,39.0,55.0,47.0
240,Adult,Female,19.0,445.0,121.3,97.38,50.7,74.77,66.03
241,Adult,Female,9.0,205.0,98.0,78.0,39.0,57.0,46.0
242,Adult,Male,20.0,340.0,118.92,93.77,51.22,74.44,56.06
243,Adult,Male,23.0,400.0,123.0,102.0,53.0,80.0,60.0
244,Adult,Male,25.0,435.0,137.0,106.0,55.0,75.0,55.0
245,Adult,Male,25.0,435.0,131.0,104.0,52.0,75.0,58.0
246,Adult,Female,18.0,408.0,117.0,98.0,46.0,77.0,61.0
247,Adult,Female,15.0,445.0,120.5,97.53,51.53,74.0,60.66
248,Adult,Male,18.0,426.0,133.0,111.0,54.0,77.0,63.0
249,Adult,Male,20.0,427.0,114.0,99.0,49.0,71.0,62.0
250,Adult,Male,12.0,350.0,123.0,96.0,46.0,80.0,52.0
251,Adult,Male,26.0,430.0,132.0,93.0,61.0,84.0,56.0
252,Adult,Male,15.0,350.0,123.04,101.4,49.42,77.4,54.48
253,Adult,Male,16.0,350.0,115.27,98.15,45.72,71.22,57.63
254,Adult,Female,21.0,355.0,112.85,95.14,47.91,70.61,59.97
255,Juvenile,Male,15.0,100.0,82.0,66.0,32.0,49.0,38.0
256,Adult,Female,15.0,306.0,115.0,96.0,47.0,70.0,61.0
257,Adult,Male,20.0,380.0,125.0,92.0,46.0,73.0,59.0
258,Adult,Male,15.0,320.0,120.0,92.0,49.0,70.0,57.0
259,Adult,Male,15.0,256.0,111.0,90.0,44.0,67.0,53.0
260,Adult,Female,25.0,390.0,116.0,93.0,47.0,68.0,56.0
261,Adult,Male,10.0,250.0,105.13,90.84,46.0,71.0,55.0
262,Adult,Male,30.0,380.0,122.94,100.02,49.9,71.4,57.6
263,Hatchling,Unknown,3.0,25.0,46.0,42.0,19.0,24.0,21.0
264,Juvenile,Unknown,4.0,47.0,60.75,46.91,22.39,32.9,29.2
265,Adult,Female,20.0,395.0,128.33,100.41,51.68,74.05,57.71
266,Adult,Male,19.0,425.0,129.92,101.71,75.21,48.63,55.99
267,Adult,Male,20.0,305.0,115.68,98.33,45.52,66.1,55.47
268,Adult,Male,17.0,205.0,104.0,82.0,40.0,59.0,46.0
269,Juvenile,Unknown,3.0,65.0,69.09,60.74,27.41,37.69,34.86
270,Adult,Unknown,17.0,440.0,115.0,104.4,47.7,77.0,62.0
271,Adult,Male,9.0,225.0,109.0,86.0,42.0,64.0,46.0
272,Adult,Male,19.0,325.0,114.0,78.0,48.0,75.0,57.0
273,Adult,Female,19.0,415.0,120.78,100.75,49.99,72.13,60.58
274,Adult,Male,12.0,260.0,114.74,89.39,45.37,67.63,53.05
275,Juvenile,Unknown,4.0,70.0,66.0,57.0,29.0,40.0,31.0
276,Juvenile,Unknown,5.0,82.8,74.74,62.72,29.86,40.65,34.3
277,Adult,Male,12.0,338.0,120.67,90.29,46.4,67.43,51.93
278,Adult,Male,16.0,435.0,137.0,109.0,51.0,79.0,58.0
279,Adult,Unknown,17.0,365.0,119.12,93.51,45.52,70.79,53.87
280,Adult,Female,16.0,405.0,121.63,105.03,47.37,74.28,57.53
281,Adult,Male,17.0,405.0,130.0,100.0,50.0,75.0,57.0
282,Adult,Male,11.0,450.0,130.46,50.15,56.68,85.51,62.41
283,Adult,Male,17.0,365.0,120.0,98.0,49.0,74.0,55.0
284,Adult,Male,30.0,410.0,122.0,99.0,50.5,71.0,64.5
285,Adult,Male,22.0,390.0,122.57,104.22,47.42,71.93,56.89
286,Adult,Male,16.0,345.0,124.0,103.0,48.0,71.0,55.0
287,Adult,Female,30.0,380.0,128.0,100.0,46.0,77.0,59.0
288,Juvenile,Unknown,11.0,125.0,82.75,76.02,32.89,48.03,42.39
289,Adult,Unknown,13.0,89.0,78.69,61.91,30.27,43.71,36.54
290,Adult,Unknown,16.0,470.0,128.0,101.0,51.9,78.4,64.3
291,Adult,Female,20.0,303.0,111.0,84.0,45.5,64.5,60.8
292,Adult,Male,17.0,400.0,122.0,104.0,47.0,70.0,60.0
293,Adult,Female,12.0,348.0,111.0,95.0,46.0,70.0,62.0
294,Juvenile,Male,7.0,210.0,104.0,82.0,44.0,61.0,51.0
295,Adult,Male,17.0,250.0,101.16,88.04,43.65,64.21,54.94
296,Adult,Male,20.0,350.0,121.0,97.0,48.0,77.0,55.0
297,Adult,Female,17.0,330.0,113.93,96.73,47.85,66.74,51.99
298,Adult,Male,21.0,375.0,120.0,102.0,46.0,67.0,55.0
299,Adult,Female,20.0,390.0,122.0,102.0,48.0,73.0,57.0
300,Adult,Male,12.0,165.0,98.7,76.2,41.25,56.13,45.56
301,Adult,Male,20.0,375.0,120.87,101.86,50.37,69.36,58.5
302,Juvenile,Female,7.0,83.0,73.0,58.0,29.0,43.0,38.0
303,Adult,Male,20.0,350.0,120.81,96.16,49.45,68.26,53.71
304,Adult,Male,30.0,365.0,117.0,97.0,47.0,71.0,61.0
305,Adult,Male,15.0,335.0,124.33,97.66,54.33,83.55,61.37
306,Adult,Male,12.0,363.0,124.0,99.0,53.0,70.0,56.0
307,,,39.63837334511077,,,,,,
308,,,32.70614543145891,,,,,,
309,,,13.352317114893989,,,,,,
310,,,19.873045817804027,,,,,,
311,,,12.063059258163392,,,,,,
312,,,43.542306149604464,,,,,,
313,,,45.75608891948256,,,,,,
314,,,16.955482773460222,,,,,,
315,,,32.620071395729,,,,,,
316,,,49.13705806562826,,,,,,
317,,,38.876746004276065,,,,,,
318,,,17.080252609939354,,,,,,
319,,,26.06526640589703,,,,,,
320,,,32.90450684868721,,,,,,
321,,,22.286631278734063,,,,,,
322,,,45.440088060118576,,,,,,
323,,,34.59189616049983,,,,,,
324,,,54.51066041042709,,,,,,
325,,,33.612463544011966,,,,,,
326,,,29.118533706143026,,,,,,
327,,,19.222618725635243,,,,,,
328,,,20.854765008832675,,,,,,
329,,,36.628581368248206,,,,,,
330,,,35.50212579951877,,,,,,
331,,,11.665271346437473,,,,,,
332,,,38.502059026253214,,,,,,
333,,,41.62185436801562,,,,,,
334,,,33.93717993344544,,,,,,
335,,,11.084603975417284,,,,,,
336,,,39.70958734472509,,,,,,
337,,,32.70707052578261,,,,,,
338,,,34.4382639945997,,,,,,
339,,,48.6800232319977,,,,,,
340,,,8.3987712670572,,,,,,
341,,,31.98566211621233,,,,,,
342,,,35.24121509672098,,,,,,
343,,,38.07396441237461,,,,,,
344,,,32.65365368316232,,,,,,
345,,,28.404236329405915,,,,,,
346,,,36.58973989159483,,,,,,
347,,,23.614386339390528,,,,,,
348,,,42.0162319173249,,,,,,
349,,,4.332190222558893,,,,,,
350,,,32.22343678508957,,,,,,
351,,,36.461977480775026,,,,,,
352,,,38.134072542800745,,,,,,
353,,,30.83808468436834,,,,,,
354,,,25.60453769399901,,,,,,
355,,,43.219466775976464,,,,,,
356,,,20.84447150148603,,,,,,
